nomor,nama,nik,akte_lahir,akte_kk,foto_rumah,rekening_listrik,ijazah_sma,nilai_raport,pas_foto,nilai_un,prestasi,kip,kks,pkh,bdt,kartu_miskin,sktm,penghasilan_ortu,status
25,Qoriati Dewi,5069781029384756,TRUE,TRUE,TRUE,FALSE,FALSE,85,TRUE,78,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
26,Rian Hidayat,6079810293847567,TRUE,TRUE,FALSE,TRUE,TRUE,89,TRUE,81,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1
27,Siska Amalia,7089102938475678,FALSE,TRUE,TRUE,FALSE,TRUE,72,TRUE,64,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
28,Taufik Akbar,8091029384756789,TRUE,FALSE,FALSE,TRUE,TRUE,83,TRUE,73,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
29,Ulfah Nurani,9010293847567890,TRUE,TRUE,TRUE,TRUE,TRUE,90,TRUE,84,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1
30,Vicky Prasetyo,0102938475678901,TRUE,TRUE,FALSE,FALSE,TRUE,71,FALSE,63,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
31,Wulan Guritno,1029384756789012,TRUE,TRUE,TRUE,FALSE,FALSE,86,TRUE,79,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
32,Xavier Tio,2039485767890123,TRUE,TRUE,FALSE,TRUE,TRUE,92,TRUE,87,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,1
33,Yuni Shara,3049586789012345,FALSE,TRUE,TRUE,FALSE,TRUE,75,TRUE,68,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
34,Zainal Arifin,4059687890123456,TRUE,FALSE,FALSE,TRUE,TRUE,81,TRUE,72,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
35,Aldi Taher,5069789012345678,TRUE,TRUE,TRUE,TRUE,TRUE,88,TRUE,80,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
36,Bella Safira,6079890123456789,TRUE,TRUE,FALSE,FALSE,TRUE,70,TRUE,62,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
37,Cahya Kumala,7089012345678901,TRUE,TRUE,TRUE,FALSE,FALSE,84,TRUE,76,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
38,Dodi Haryanto,8090123456789012,TRUE,FALSE,FALSE,TRUE,TRUE,91,TRUE,85,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1
39,Eka Putra,9010123456789012,FALSE,TRUE,TRUE,FALSE,TRUE,73,TRUE,65,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
40,Fani Ramadhani,0101234567890123,TRUE,TRUE,FALSE,TRUE,TRUE,82,TRUE,74,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,1
41,Gilang Dirga,1012345678901234,TRUE,TRUE,TRUE,TRUE,TRUE,87,FALSE,81,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
42,Hesti Purwadinata,2013456789012345,TRUE,TRUE,FALSE,FALSE,TRUE,69,TRUE,61,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
43,Indra Herlambang,3014567890123456,TRUE,TRUE,TRUE,FALSE,FALSE,85,TRUE,77,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1
44,Jessica Iskandar,4015678901234567,TRUE,FALSE,FALSE,TRUE,TRUE,93,TRUE,88,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
45,Krisdayanti,5016789012345678,TRUE,TRUE,TRUE,FALSE,TRUE,72,TRUE,64,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0
46,Luna Maya,6017890123456789,TRUE,TRUE,FALSE,TRUE,TRUE,80,TRUE,70,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
47,Morgan Oey,7018901234567890,FALSE,TRUE,TRUE,TRUE,TRUE,94,TRUE,89,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
48,Nagita Slavina,8019012345678901,TRUE,FALSE,FALSE,FALSE,TRUE,71,TRUE,63,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
49,Olla Ramlan,9020123456789012,TRUE,TRUE,TRUE,FALSE,FALSE,86,TRUE,79,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
50,Pevita Pearce,0021234567890123,TRUE,TRUE,FALSE,TRUE,TRUE,92,TRUE,87,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,1
51,Raffi Ahmad,1022345678901234,TRUE,TRUE,TRUE,FALSE,TRUE,75,TRUE,68,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
52,Syahrini,2023456789012345,FALSE,TRUE,FALSE,TRUE,TRUE,81,TRUE,72,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
53,Tora Sudiro,3024567890123456,TRUE,TRUE,TRUE,TRUE,FALSE,88,TRUE,80,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
54,Uus,4025678901234567,TRUE,FALSE,FALSE,FALSE,TRUE,70,TRUE,62,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
55,Verrell Bramasta,5026789012345678,TRUE,TRUE,TRUE,FALSE,TRUE,84,TRUE,76,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1
56,Wika Salim,6027890123456789,TRUE,TRUE,FALSE,TRUE,TRUE,91,FALSE,85,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
57,Yuki Kato,7028901234567890,TRUE,TRUE,TRUE,FALSE,TRUE,73,TRUE,65,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
58,Zaskia Gotik,8029012345678901,FALSE,TRUE,FALSE,TRUE,TRUE,82,TRUE,74,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
59,Aldi Maldini,9030123456789012,TRUE,FALSE,TRUE,TRUE,TRUE,87,TRUE,81,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
60,Bunga Citra Lestari,0031234567890123,TRUE,TRUE,FALSE,FALSE,TRUE,69,TRUE,61,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0
61,Cinta Laura,1032345678901234,TRUE,TRUE,TRUE,FALSE,FALSE,85,TRUE,77,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
62,Denny Cagur,2033456789012345,TRUE,TRUE,FALSE,TRUE,TRUE,93,TRUE,88,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1
63,Enzy Storia,3034567890123456,TRUE,TRUE,TRUE,FALSE,TRUE,72,TRUE,64,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0
64,Fatimah Azzahra,4035678901234567,FALSE,TRUE,FALSE,TRUE,TRUE,80,FALSE,70,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
65,Gading Marten,5036789012345678,TRUE,FALSE,TRUE,TRUE,TRUE,94,TRUE,89,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
66,Hanggini Purinda,6037890123456789,TRUE,TRUE,FALSE,FALSE,TRUE,71,TRUE,63,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
67,Iqbaal Ramadhan,7038901234567890,TRUE,TRUE,TRUE,FALSE,FALSE,86,TRUE,79,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
68,Jefri Nichol,8039012345678901,TRUE,TRUE,FALSE,TRUE,TRUE,92,TRUE,87,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
69,Kiky Saputri,9040123456789012,FALSE,TRUE,TRUE,FALSE,TRUE,75,TRUE,68,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0
70,Lesti Kejora,0041234567890123,TRUE,FALSE,FALSE,TRUE,TRUE,81,TRUE,72,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
71,Maia Estianty,1042345678901234,TRUE,TRUE,TRUE,TRUE,TRUE,88,TRUE,80,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
72,Nindy Ayunda,2043456789012345,TRUE,TRUE,FALSE,FALSE,TRUE,70,FALSE,62,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
73,Onadio Leonardo,3044567890123456,TRUE,TRUE,TRUE,FALSE,FALSE,84,TRUE,76,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
74,Prilly Latuconsina,4045678901234567,TRUE,FALSE,FALSE,TRUE,TRUE,91,TRUE,85,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
75,Rizky Febian,5046789012345678,TRUE,TRUE,TRUE,FALSE,TRUE,73,TRUE,65,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0
76,Salshabilla Adriani,6047890123456789,FALSE,TRUE,FALSE,TRUE,TRUE,82,TRUE,74,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,1
77,Tissa Biani,7048901234567890,TRUE,TRUE,TRUE,TRUE,TRUE,87,TRUE,81,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
78,Uya Kuya,8049012345678901,TRUE,FALSE,FALSE,FALSE,FALSE,69,TRUE,61,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
79,Vanessa Angel,9050123456789012,TRUE,TRUE,TRUE,FALSE,TRUE,85,TRUE,77,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
80,Wali Band,0051234567890123,TRUE,TRUE,FALSE,TRUE,TRUE,93,TRUE,88,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,1
81,Yayan Ruhian,1052345678901234,TRUE,TRUE,TRUE,FALSE,TRUE,72,FALSE,64,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
82,Zee JKT48,2053456789012345,TRUE,FALSE,FALSE,TRUE,TRUE,80,TRUE,70,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
83,Aaliyah Massaid,3054567890123456,TRUE,TRUE,TRUE,TRUE,TRUE,94,TRUE,89,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
84,Bebi Romeo,4055678901234567,FALSE,TRUE,FALSE,FALSE,TRUE,71,TRUE,63,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
85,Caitlin Halderman,5056789012345678,TRUE,TRUE,TRUE,FALSE,FALSE,86,TRUE,79,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
86,Dimas Anggara,6057890123456789,TRUE,FALSE,FALSE,TRUE,TRUE,92,TRUE,87,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
87,Eriska Rein,7058901234567890,TRUE,TRUE,TRUE,FALSE,TRUE,75,TRUE,68,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0
88,Fiersa Besari,8059012345678901,TRUE,TRUE,FALSE,TRUE,TRUE,81,FALSE,72,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
89,Gisella Anastasia,9060123456789012,TRUE,TRUE,TRUE,TRUE,TRUE,88,TRUE,80,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
90,Husein Alatas,0061234567890123,FALSE,TRUE,FALSE,FALSE,TRUE,70,TRUE,62,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
91,Indah Permatasari,1062345678901234,TRUE,FALSE,TRUE,FALSE,FALSE,84,TRUE,76,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
92,Jihan Audy,2063456789012345,TRUE,TRUE,FALSE,TRUE,TRUE,91,TRUE,85,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,1
93,Kunto Aji,3064567890123456,TRUE,TRUE,TRUE,FALSE,TRUE,73,TRUE,65,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0
94,Laura Basuki,4065678901234567,TRUE,TRUE,FALSE,TRUE,TRUE,82,TRUE,74,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
95,Mario Teguh,5066789012345678,FALSE,TRUE,TRUE,TRUE,TRUE,87,TRUE,81,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
96,Natasha Wilona,6067890123456789,TRUE,FALSE,FALSE,FALSE,TRUE,69,TRUE,61,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
97,Omar Daniel,7068901234567890,TRUE,TRUE,TRUE,FALSE,FALSE,85,TRUE,77,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
98,Putra Siregar,8069012345678901,TRUE,TRUE,FALSE,TRUE,TRUE,93,TRUE,88,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
99,Randy Pangalila,9070123456789012,TRUE,TRUE,TRUE,FALSE,TRUE,72,FALSE,64,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0
100,Rina Nose,0071234567890123,TRUE,FALSE,FALSE,TRUE,TRUE,80,TRUE,70,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
101,Stefan William,1072345678901234,TRUE,TRUE,TRUE,TRUE,TRUE,94,TRUE,89,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
102,Tasya Kamila,2073456789012345,FALSE,TRUE,FALSE,FALSE,TRUE,71,TRUE,63,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
103,Tiara Andini,3074567890123456,TRUE,TRUE,TRUE,FALSE,FALSE,86,TRUE,79,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
104,Via Vallen,4075678901234567,TRUE,FALSE,FALSE,TRUE,TRUE,92,TRUE,87,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
105,Widy Vierra,5076789012345678,TRUE,TRUE,TRUE,FALSE,TRUE,75,TRUE,68,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0
106,Yayan Ruhian Jr,6077890123456789,TRUE,TRUE,FALSE,TRUE,TRUE,81,FALSE,72,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
107,Ziva Magnolya,7078901234567890,FALSE,TRUE,TRUE,TRUE,TRUE,88,TRUE,80,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
108,Ariel Noah,8079012345678901,TRUE,FALSE,FALSE,FALSE,TRUE,70,TRUE,62,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
109,Boy William,9080123456789012,TRUE,TRUE,TRUE,FALSE,FALSE,84,TRUE,76,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
110,Celine Evangelista,0081234567890123,TRUE,TRUE,FALSE,TRUE,TRUE,91,TRUE,85,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
111,Deddy Corbuzier,1082345678901234,TRUE,TRUE,TRUE,FALSE,TRUE,73,TRUE,65,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0
112,Erika Carlina,2083456789012345,FALSE,TRUE,FALSE,TRUE,TRUE,82,TRUE,74,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
113,Gigi Hadid,3084567890123456,TRUE,FALSE,TRUE,TRUE,TRUE,87,TRUE,81,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
114,Happy Salma,4085678901234567,TRUE,TRUE,FALSE,FALSE,TRUE,69,FALSE,61,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
115,Iis Dahlia,5086789012345678,TRUE,TRUE,TRUE,FALSE,FALSE,85,TRUE,77,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
116,Jaja Miharja,6087890123456789,TRUE,TRUE,FALSE,TRUE,TRUE,93,TRUE,88,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,1
117,Kartika Putri,7088901234567890,FALSE,TRUE,TRUE,FALSE,TRUE,72,TRUE,64,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
118,Lucky Hakim,8089012345678901,TRUE,FALSE,FALSE,TRUE,TRUE,80,TRUE,70,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
119,Melly Goeslaw,9090123456789012,TRUE,TRUE,TRUE,TRUE,TRUE,94,TRUE,89,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
120,Nikita Mirzani,0091234567890123,TRUE,TRUE,FALSE,FALSE,TRUE,71,TRUE,63,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0
121,Once Mekel,1092345678901234,TRUE,TRUE,TRUE,FALSE,FALSE,86,TRUE,79,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
122,Parto Patrio,2093456789012345,TRUE,FALSE,FALSE,TRUE,TRUE,92,TRUE,87,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
123,Ria Ricis,3094567890123456,TRUE,TRUE,TRUE,FALSE,TRUE,75,FALSE,68,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
124,Sheila Dara,4095678901234567,TRUE,TRUE,FALSE,TRUE,TRUE,81,TRUE,72,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1
125,Tompi,5096789012345678,FALSE,TRUE,TRUE,TRUE,TRUE,88,TRUE,80,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
126,Tyas Mirasih,6097890123456789,TRUE,FALSE,FALSE,FALSE,TRUE,70,TRUE,62,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
127,Via Vallen,7098901234567890,TRUE,TRUE,TRUE,FALSE,FALSE,84,TRUE,76,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
128,Wendy Cagur,8099012345678901,TRUE,TRUE,FALSE,TRUE,TRUE,91,TRUE,85,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,1
129,Yuni Shara Jr,9100123456789012,TRUE,TRUE,TRUE,FALSE,TRUE,73,TRUE,65,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
130,Zico,0101234567890123,FALSE,FALSE,FALSE,TRUE,TRUE,82,TRUE,74,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
131,Agnes Monica,1102345678901234,TRUE,TRUE,TRUE,TRUE,TRUE,87,TRUE,81,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
132,Baim Wong,2103456789012345,TRUE,TRUE,FALSE,FALSE,FALSE,69,TRUE,61,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
133,Christian Sugiono,3104567890123456,TRUE,TRUE,TRUE,FALSE,TRUE,85,TRUE,77,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1
134,Dian Sastro,4105678901234567,TRUE,FALSE,FALSE,TRUE,TRUE,93,TRUE,88,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
135,Ernest Prakasa,5106789012345678,TRUE,TRUE,TRUE,FALSE,TRUE,72,TRUE,64,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
136,Ferry Maryadi,6107890123456789,FALSE,TRUE,FALSE,TRUE,FALSE,80,TRUE,70,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
137,Gading Martin,7108901234567890,TRUE,TRUE,TRUE,TRUE,TRUE,94,TRUE,89,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
138,Hannah Al Rashid,8109012345678901,TRUE,FALSE,FALSE,FALSE,TRUE,71,TRUE,63,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
139,Irfan Hakim,9110123456789012,TRUE,TRUE,TRUE,FALSE,TRUE,86,FALSE,79,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
140,Julie Estelle,0111234567890123,TRUE,TRUE,FALSE,TRUE,TRUE,92,TRUE,87,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1
141,Kevin Julio,1112345678901234,FALSE,TRUE,TRUE,FALSE,TRUE,75,TRUE,68,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
142,Lukman Sardi,2113456789012345,TRUE,FALSE,FALSE,TRUE,TRUE,81,TRUE,72,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
143,Marcel Chandrawinata,3114567890123456,TRUE,TRUE,TRUE,TRUE,TRUE,88,TRUE,80,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
144,Nia Ramadhani Jr,4115678901234567,TRUE,TRUE,FALSE,FALSE,FALSE,70,TRUE,62,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
145,Omesh,5116789012345678,TRUE,TRUE,TRUE,FALSE,TRUE,84,TRUE,76,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1
146,Putri Titian,6117890123456789,TRUE,FALSE,FALSE,TRUE,TRUE,91,TRUE,85,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
147,Risa Saraswati,7118901234567890,TRUE,TRUE,TRUE,FALSE,TRUE,73,TRUE,65,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
